video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
TUWDd3IDLi4,China: No One Will Win A Trade War After Trump Tariff Announcement | Forbes Topline,China: No One Will Win A Trade War After Trump Tariff Announcement | Forbes Topline,2024-11-26T21:25:52Z,UCmh7afBz-uWwOSSNTqUBAhg,Forbes,25,"['Forbes', 'Forbes Media', 'Forbes Magazine', 'Forbes Digital', 'Business', 'Finance', 'Entrepreneurship', 'Technology', 'Investing', 'Personal Finance']",PT2M8S,hd,false,252788,2360,0,0,2216
szwExMvoSz8,How US Thanksgiving Wasn't What I Expected,How US Thanksgiving Wasn't What I Expected,2024-11-27T01:59:42Z,UCqabPJa-N6ORAlO5yMBtWXg,Lost in the Pond,23,"['Laurence Brown', 'America', 'Thanksgiving']",PT11M55S,hd,false,194454,15584,0,0,1782
CULKDBFD52c,진 엔딩은 HAPPY 엔딩💜,진 엔딩은 HAPPY 엔딩💜,2024-11-27T12:00:01Z,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,10,"['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",PT1M9S,hd,true,911051,151392,0,0,5687
g1UJg4WhDl0,Dad Reacts to Kendrick Lamar - GNX,Dad Reacts to Kendrick Lamar - GNX,2024-11-26T21:42:35Z,UCgmDCcn9oo7m9XCIfi8eavw,turning the tables,22,"['GNX album review', 'father and son reaction', 'GNX review with dad', 'Kendrick Lamar music review', 'dad reacts to Kendrick Lamar', 'GNX album first listen', 'Kendrick Lamar reaction', 'new Kendrick Lamar music', 'GNX first impression', 'Kendrick Lamar 2024 album', 'Kendrick Lamar reaction with dad', 'GNX album reaction', 'Kendrick Lamar new album', 'Kendrick Lamar GNX reaction', 'Kendrick Lamar GNX SZA feature', 'GNX album reaction SZA feature', 'squabble up Kendrick Lamar', 'Kendrick Dad Reacts', 'Dad Reacts']",PT52M59S,hd,false,246756,13799,0,0,876
J62FYosjFIs,"these games wanted to sponsor me, i said no and reviewed them anyway","these games wanted to sponsor me, i said no and reviewed them anyway",2024-11-26T23:01:41Z,UCrPseYLGpNygVi34QpGNqpA,Ludwig,20,"['ludwig', 'ludwigahgren', 'ahgren', 'gaming', 'chat', 'stream', 'decides', 'lud']",PT35M3S,hd,false,1107564,42271,0,0,1399
qlcHIjNtAzM,Thanksgiving Special: Chicken falls in love!,Thanksgiving Special: Chicken falls in love!,2024-11-26T15:00:57Z,UCBrMq7wkdPWb3PxR-GUR61A,Hay Day,20,"['Hay Day', 'HayDay', 'Supercell', 'Suprcell', 'Farming', 'Farm life', 'mobile', 'tablet', 'mobile game', 'game', 'yt:cc=on', 'ios', 'android', 'amazon', 'series', 'farmer', 'pig', 'horse', 'cow', 'sheep', 'goat', 'puppy', 'dog', 'kitten', 'cat', 'fishing', 'sanctuary', 'elephant', 'zebra', 'giraffe', 'hippo']",PT43S,hd,false,549124,14143,0,0,391
bt8BwJs2JWI,Can I remake those SH*TTY mobile games in 1 HOUR?,Can I remake those SH*TTY mobile games in 1 HOUR?,2024-11-26T01:33:50Z,UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet,27,"['artificial', 'intelligence', 'coding', 'processing', 'java', 'machine', 'learning', 'genetic', 'algorithm', 'evolution', 'computer', 'science', 'programming', 'comedy', 'educational']",PT23M13S,hd,true,1522531,92462,0,0,2633
UkX6xJQnMm8,Drake Escalates Rap Beef By Accusing UMG Of Unfairly Promoting Kendrick Lamar's 'Not Like Us',Drake Escalates Rap Beef By Accusing UMG Of Unfairly Promoting Kendrick Lamar's 'Not Like Us',2024-11-26T16:59:13Z,UC5RwNJQSINkzIazWaM-lM3Q,HOT 97,24,"['hot97', 'hip hop', 'New York', 'NY', 'US', 'United States', 'HOT97.com', '#hot97']",PT11M15S,hd,false,143107,3370,0,0,1471
u67l_2pQ640,xxxxx,xxxxx,2024-11-27T04:15:06Z,UCyq9MeLaaVq4lSHj9fuvAiQ,FruitySama,20,[],PT35S,hd,false,157308,7300,0,0,1297
Zm29ngg2IKo,Grandma is secretly a serial killer and cannibal?? The shocking crimes of the Granny Ripper,Grandma is secretly a serial killer and cannibal?? The shocking crimes of the Granny Ripper,2024-11-25T20:00:16Z,UCtNdVINwfYFTQEEZgMiQ8FA,Bailey Sarian,24,"['Bailey sarian', 'youtube bailey sarian', 'bailey sarian youtube', 'bailey', 'mystery makeup monday', 'monday mystery makeup', 'mystery makeup', 'mystery makeup mondays', 'new makeup tutorial', 'makeup and story time', 'story time and makeup', 'story time', 'grwm', 'grwm and makeup', 'get ready with me and makeup', 'makeup grwm', 'flawless foundation', 'mystery monday', 'mystery', 'monday story time', 'dark history', 'history story', 'hilarious', 'true crime story', 'true crime', 'tiktok', 'tattoo tour', 'tattoos', '90s makeup', 'grunge']",PT40M21S,hd,false,700708,36775,0,0,8919
